id,cate_id,food_name,alias_name,english_name,edible_part,water,energy,protein,fat,cholesterol,ash,carbohydrate,dietary_fiber,carotene,shihuangchun,vitamin_a,vitamin_e,thiamin,riboflavin,niacin,vitamin_c,calcium,phosphorus,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,iodine,sfa,mufa,pufa,fatty_acids_total
432,,梨(均值),,,,,184kJ,0g,0g,0mg,,10g,3g,0μg,86μg,6μg,1mg,0mg,0mg,0mg,6mg,9mg,14mg,92mg,2mg,8mg,0mg,0mg,1μg,1mg,0mg,,,,,
433,,巴梨,,,,,192kJ,0g,0g,0mg,,11g,2g,0μg,86μg,2μg,1mg,0mg,0mg,0mg,11mg,6mg,5mg,145mg,1mg,2mg,0mg,0mg,0μg,0mg,0mg,,,,,
434,,长把梨,,,,,226kJ,1g,1g,0mg,,11g,4g,0μg,83μg,0μg,1mg,0mg,0mg,0mg,3mg,9mg,18mg,50mg,3mg,7mg,1mg,0mg,0μg,0mg,0mg,,,,,
435,,冬果梨,,,,,155kJ,0g,0g,0mg,,8g,4g,0μg,86μg,3μg,0mg,0mg,0mg,0mg,6mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
436,,鹅黄梨,,,,,155kJ,0g,0g,0mg,,9g,2g,0μg,89μg,0μg,2mg,0mg,0mg,0mg,8mg,1mg,13mg,69mg,2mg,8mg,0mg,0mg,0μg,0mg,0mg,,,,,
437,,红肖梨,,,,,126kJ,0g,0g,0mg,,7g,3g,0μg,89μg,2μg,0mg,0mg,0mg,1mg,4mg,11mg,7mg,78mg,3mg,5mg,0mg,0mg,0μg,0mg,0mg,,,,,
438,,锦丰梨,,,,,188kJ,0g,0g,0mg,,11g,3g,0μg,86μg,3μg,0mg,0mg,0mg,0mg,6mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
439,,京白梨,,,,,230kJ,0g,0g,0mg,,12g,1g,0μg,85μg,0μg,0mg,0mg,0mg,0mg,3mg,7mg,6mg,105mg,1mg,9mg,0mg,0mg,1μg,0mg,0mg,,,,,
440,,库尔勒梨,,,,,117kJ,0g,0g,0mg,,7g,7g,0μg,86μg,0μg,0mg,0mg,0mg,0mg,0mg,22mg,19mg,79mg,4mg,8mg,1mg,3mg,2μg,3mg,0mg,,,,,
441,,莱阳梨,,,,,205kJ,0g,0g,0mg,,12g,3g,1μg,85μg,0μg,1mg,0mg,0mg,0mg,3mg,10mg,8mg,82mg,2mg,8mg,0mg,0mg,0μg,0mg,0mg,,,,,
442,,马蹄黄梨,,,,,197kJ,0g,0g,0mg,,11g,1g,0μg,87μg,0μg,2mg,0mg,0mg,0mg,10mg,2mg,14mg,80mg,3mg,7mg,0mg,0mg,0μg,0mg,0mg,,,,,
443,,明月梨,,,,,222kJ,0g,0g,0mg,,12g,1g,0μg,86μg,0μg,2mg,0mg,0mg,0mg,6mg,2mg,14mg,110mg,1mg,8mg,0mg,0mg,1μg,0mg,0mg,,,,,
444,,木梨,,,,,117kJ,0g,0g,0mg,,6g,2g,0μg,91μg,0μg,0mg,0mg,0mg,0mg,5mg,4mg,13mg,121mg,3mg,6mg,0mg,0mg,0μg,0mg,0mg,,,,,
445,,苹果梨,,,,,201kJ,0g,0g,0mg,,12g,2g,0μg,85μg,5μg,0mg,0mg,0mg,0mg,4mg,4mg,19mg,180mg,2mg,9mg,0mg,0mg,3μg,0mg,0mg,,,,,
446,,软梨,,,,,59kJ,0g,0g,0mg,,3g,9g,0μg,87μg,3μg,0mg,0mg,0mg,0mg,0mg,25mg,19mg,105mg,1mg,12mg,1mg,1mg,8μg,5mg,0mg,,,,,
447,,苏梅梨,,,,,276kJ,1g,0g,0mg,,15g,6g,1μg,77μg,0μg,1mg,0mg,0mg,0mg,1mg,9mg,19mg,39mg,1mg,10mg,1mg,0mg,0μg,0mg,0mg,,,,,
448,,苏木梨,,,,,201kJ,1g,0g,0mg,,11g,2g,0μg,86μg,0μg,0mg,0mg,0mg,0mg,5mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
449,,酥梨,,,,,180kJ,0g,0g,0mg,,10g,1g,0μg,88μg,0μg,2mg,0mg,0mg,0mg,11mg,2mg,16mg,76mg,2mg,8mg,0mg,0mg,0μg,0mg,0mg,,,,,
450,,酸梨,,,,,109kJ,0g,0g,0mg,,6g,4g,0μg,90μg,0μg,1mg,0mg,0mg,1mg,14mg,12mg,13mg,102mg,8mg,11mg,1mg,3mg,2μg,4mg,0mg,,,,,
451,,香梨,,,,,192kJ,0g,0g,0mg,,11g,3g,0μg,86μg,12μg,0mg,0mg,0mg,0mg,0mg,6mg,31mg,90mg,1mg,7mg,0mg,0mg,0μg,0mg,0mg,,,,,
452,,雪花梨,,,,,172kJ,0g,0g,0mg,,10g,1g,0μg,89μg,17μg,0mg,0mg,0mg,0mg,4mg,5mg,6mg,85mg,1mg,10mg,0mg,0mg,0μg,0mg,0mg,,,,,
453,,雪梨,,,,,305kJ,1g,0g,0mg,,17g,3g,0μg,78μg,0μg,0mg,0mg,0mg,0mg,1mg,12mg,11mg,45mg,1mg,13mg,1mg,0mg,0μg,0mg,0mg,,,,,
454,,鸭广梨,,,,,209kJ,1g,0g,0mg,,11g,5g,0μg,82μg,0μg,0mg,0mg,0mg,0mg,4mg,18mg,12mg,110mg,1mg,8mg,0mg,0mg,0μg,0mg,0mg,,,,,
455,,鸭梨,,,,,180kJ,0g,0g,0mg,,10g,1g,0μg,88μg,2μg,0mg,0mg,0mg,0mg,4mg,4mg,14mg,77mg,2mg,5mg,1mg,0mg,0μg,0mg,0mg,,,,,
456,,早酥梨,,,,,180kJ,0g,0g,0mg,,10g,4g,0μg,86μg,7μg,0mg,0mg,0mg,0mg,12mg,12mg,12mg,137mg,0mg,6mg,0mg,0mg,0μg,0mg,0mg,,,,,
457,,紫酥梨,,,,,197kJ,0g,0g,0mg,,11g,2g,0μg,86μg,0μg,4mg,0mg,0mg,0mg,9mg,1mg,16mg,86mg,2mg,7mg,0mg,0mg,0μg,0mg,0mg,,,,,
458,,鳄梨,,,,,674kJ,2g,15g,0mg,,7g,2g,1μg,74μg,61μg,0mg,0mg,0mg,2mg,8mg,11mg,41mg,599mg,10mg,39mg,1mg,0mg,0μg,0mg,0mg,,,,,
459,,冬果梨(罐头),,,,,197kJ,0g,0g,0mg,,11g,4g,0μg,84μg,0μg,0mg,0mg,0mg,0mg,0mg,16mg,5mg,13mg,2mg,5mg,1mg,1mg,1μg,0mg,0mg,,,,,
460,,梨(糖水罐头),,,,,138kJ,0g,0g,0mg,,7g,1g,0μg,90μg,0μg,0mg,0mg,0mg,0mg,0mg,2mg,3mg,15mg,2mg,3mg,0mg,0mg,0μg,0mg,0mg,,,,,
461,,红果[山里红，大山楂],,,,,397kJ,0g,1g,0mg,,22g,3g,1μg,73μg,17μg,7mg,0mg,0mg,0mg,53mg,52mg,24mg,299mg,5mg,19mg,1mg,0mg,1μg,0mg,0mg,,,,,
462,,红果(干),,,,,636kJ,4g,2g,0mg,,29g,50g,4μg,11μg,10μg,0mg,0mg,0mg,1mg,2mg,144mg,440mg,440mg,10mg,0mg,0mg,1mg,3μg,0mg,1mg,,,,,
463,,海棠果[楸子],,,,,305kJ,0g,0g,0mg,,17g,2g,0μg,80μg,118μg,0mg,0mg,0mg,0mg,20mg,15mg,16mg,263mg,1mg,13mg,0mg,0mg,0μg,0mg,0mg,,,,,
464,,海棠(罐头),,,,,222kJ,0g,0g,0mg,,12g,1g,0μg,85μg,0μg,0mg,0mg,0mg,0mg,0mg,43mg,11mg,56mg,9mg,21mg,2mg,1mg,6μg,0mg,0mg,,,,,
465,,沙果,,,,,276kJ,0g,0g,0mg,,16g,2g,0μg,81μg,0μg,0mg,0mg,0mg,0mg,3mg,5mg,14mg,123mg,2mg,9mg,1mg,0mg,0μg,0mg,0mg,,,,,
466,,吊蛋,,,,,234kJ,1g,0g,0mg,,12g,4g,0μg,82μg,0μg,2mg,0mg,0mg,0mg,0mg,11mg,9mg,136mg,1mg,8mg,0mg,0mg,2μg,0mg,0mg,,,,,
467,,面蛋,,,,,356kJ,2g,0g,0mg,,18g,3g,2μg,74μg,22μg,4mg,0mg,0mg,0mg,0mg,206mg,56mg,237mg,4mg,33mg,4mg,1mg,3μg,5mg,0mg,,,,,
468,,酸刺,,,,,448kJ,3g,0g,0mg,,23g,2g,1μg,71μg,25μg,2mg,0mg,0mg,0mg,74mg,105mg,39mg,259mg,8mg,24mg,12mg,1mg,4μg,9mg,0mg,,,,,
469,,桃(均值),,,,,201kJ,1g,0g,0mg,,11g,1g,0μg,86μg,3μg,2mg,0mg,0mg,1mg,7mg,6mg,20mg,166mg,6mg,7mg,1mg,0mg,0μg,0mg,0mg,,,,,
470,,白粉桃,,,,,105kJ,1g,0g,0mg,,5g,1g,0μg,93μg,0μg,0mg,0mg,0mg,0mg,9mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
471,,高山白桃,,,,,167kJ,1g,0g,0mg,,9g,1g,0μg,88μg,3μg,1mg,0mg,0mg,0mg,10mg,7mg,11mg,169mg,1mg,4mg,1mg,0mg,0μg,0mg,0mg,,,,,
472,,旱久保桃,,,,,197kJ,1g,0g,0mg,,10g,1g,0μg,87μg,2μg,1mg,0mg,0mg,1mg,10mg,12mg,18mg,144mg,2mg,10mg,0mg,0mg,0μg,0mg,0mg,,,,,
473,,黄桃,,,,,226kJ,0g,0g,0mg,,13g,1g,0μg,85μg,15μg,1mg,0mg,0mg,0mg,9mg,0mg,7mg,0mg,0mg,0mg,0mg,0mg,1μg,0mg,0mg,,,,,
474,,金红桃,,,,,109kJ,1g,0g,0mg,,6g,1g,0μg,92μg,0μg,0mg,0mg,0mg,0mg,9mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
475,,久保桃,,,,,172kJ,1g,0g,0mg,,9g,1g,0μg,89μg,0μg,1mg,0mg,0mg,1mg,8mg,10mg,16mg,100mg,2mg,8mg,0mg,0mg,0μg,0mg,0mg,,,,,
476,,蜜桃,,,,,172kJ,1g,0g,0mg,,9g,1g,0μg,89μg,2μg,1mg,0mg,0mg,1mg,4mg,10mg,21mg,169mg,3mg,9mg,0mg,0mg,0μg,0mg,0mg,,,,,
477,,蒲桃,,,,,138kJ,0g,0g,0mg,,7g,3g,0μg,89μg,0μg,1mg,0mg,0mg,0mg,25mg,4mg,14mg,109mg,1mg,13mg,0mg,0mg,4μg,0mg,0mg,,,,,
478,,庆丰桃,,,,,167kJ,1g,0g,0mg,,9g,1g,0μg,89μg,0μg,1mg,0mg,0mg,0mg,0mg,0mg,2mg,57mg,2mg,12mg,0mg,0mg,0μg,0mg,0mg,,,,,
479,,晚桃(黄),,,,,163kJ,1g,0g,0mg,,9g,1g,0μg,89μg,3μg,0mg,0mg,0mg,0mg,11mg,6mg,13mg,168mg,0mg,4mg,0mg,0mg,0μg,0mg,0mg,,,,,
480,,五月鲜桃,,,,,163kJ,0g,0g,0mg,,9g,1g,0μg,89μg,0μg,1mg,0mg,0mg,0mg,0mg,7mg,2mg,0mg,0mg,10mg,0mg,0mg,0μg,0mg,0mg,,,,,
481,,早桃(黄),,,,,163kJ,0g,0g,0mg,,9g,1g,0μg,89μg,10μg,1mg,0mg,0mg,0mg,12mg,4mg,10mg,155mg,1mg,3mg,0mg,0mg,0μg,0mg,0mg,,,,,
482,,桃(糖水罐头),,,,,243kJ,0g,0g,0mg,,14g,0g,0μg,85μg,0μg,1mg,0mg,0mg,0mg,0mg,16mg,6mg,16mg,28mg,3mg,0mg,1mg,0μg,2mg,0mg,,,,,
