id,cate_id,food_name,alias_name,english_name,edible_part,water,energy,protein,fat,cholesterol,ash,carbohydrate,dietary_fiber,carotene,shihuangchun,vitamin_a,vitamin_e,thiamin,riboflavin,niacin,vitamin_c,calcium,phosphorus,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,iodine,sfa,mufa,pufa,fatty_acids_total
1,,小麦,,,,,1326kJ,12g,1g,0mg,,64g,11g,2μg,10μg,0μg,2mg,0mg,0mg,4mg,0mg,34mg,325mg,289mg,7mg,4mg,5mg,2mg,4μg,0mg,3mg,,,,,
2,,五谷香,,,,,1577kJ,10g,3g,0mg,,78g,0g,3μg,6μg,0μg,2mg,0mg,0mg,0mg,0mg,2mg,13mg,7mg,1mg,0mg,0mg,0mg,1μg,0mg,0mg,,,,,
3,,小麦粉(标准粉),,,,,1439kJ,11g,2g,0mg,,72g,2g,1μg,13μg,0μg,2mg,0mg,0mg,2mg,0mg,31mg,188mg,190mg,3mg,50mg,4mg,2mg,5μg,0mg,2mg,,,,,
4,,小麦粉(富强粉，特一粉),,,,,1464kJ,10g,1g,0mg,,75g,1g,1μg,13μg,0μg,1mg,0mg,0mg,2mg,0mg,27mg,114mg,128mg,3mg,32mg,3mg,1mg,7μg,0mg,1mg,,,,,
5,,小麦粉(特二粉),,,,,1460kJ,10g,1g,0mg,,74g,2g,1μg,12μg,0μg,1mg,0mg,0mg,2mg,0mg,30mg,120mg,124mg,2mg,48mg,3mg,1mg,6μg,1mg,1mg,,,,,
6,,小麦胚粉,,,,,1640kJ,36g,10g,0mg,,39g,6g,5μg,4μg,0μg,23mg,4mg,1mg,4mg,0mg,85mg,1168mg,1523mg,5mg,198mg,1mg,23mg,65μg,1mg,17mg,,,,,
7,,麸皮,,,,,920kJ,16g,4g,0mg,,30g,31g,4μg,14μg,20μg,4mg,0mg,0mg,12mg,0mg,206mg,682mg,862mg,12mg,382mg,10mg,6mg,7μg,2mg,11mg,,,,,
8,,挂面(均值),,,,,1448kJ,10g,1g,0mg,,75g,1g,1μg,12μg,0μg,1mg,0mg,0mg,2mg,0mg,17mg,134mg,129mg,184mg,49mg,3mg,1mg,12μg,0mg,1mg,,,,,
9,,挂面(标准粉),,,,,1439kJ,10g,1g,0mg,,74g,2g,1μg,12μg,0μg,1mg,0mg,0mg,2mg,0mg,14mg,153mg,157mg,150mg,51mg,4mg,1mg,10μg,0mg,1mg,,,,,
10,,挂面(富强粉),,,,,1452kJ,10g,1g,0mg,,76g,0g,1μg,13μg,0μg,1mg,0mg,0mg,2mg,0mg,21mg,112mg,122mg,111mg,48mg,3mg,1mg,11μg,0mg,1mg,,,,,
11,,挂面(精制龙须面),,,,,1452kJ,11g,0g,0mg,,74g,0g,2μg,12μg,0μg,0mg,0mg,0mg,2mg,0mg,26mg,137mg,109mg,293mg,48mg,2mg,1mg,14μg,0mg,1mg,,,,,
12,,面条(均值),,,,,1188kJ,8g,1g,0mg,,61g,1g,1μg,28μg,0μg,1mg,0mg,0mg,1mg,0mg,11mg,162mg,135mg,28mg,39mg,4mg,1mg,12μg,0mg,1mg,,,,,
13,,面条(标准粉，切面),,,,,1172kJ,8g,2g,0mg,,58g,2g,1μg,30μg,0μg,0mg,0mg,0mg,3mg,0mg,13mg,142mg,161mg,3mg,61mg,3mg,1mg,0μg,0mg,1mg,,,,,
14,,面条(富强粉，切面),,,,,1192kJ,9g,1g,0mg,,60g,0g,0μg,29μg,0μg,0mg,0mg,0mg,2mg,0mg,24mg,92mg,102mg,2mg,29mg,2mg,1mg,17μg,0mg,1mg,,,,,
15,,面条(特粉，切面),,,,,1197kJ,7g,0g,0mg,,64g,1g,1μg,28μg,0μg,0mg,0mg,0mg,0mg,0mg,3mg,181mg,128mg,10mg,36mg,5mg,2mg,16μg,0mg,1mg,,,,,
16,,面条(富强粉，煮),,,,,456kJ,3g,0g,0mg,,24g,0g,0μg,73μg,0μg,0mg,0mg,0mg,2mg,0mg,4mg,25mg,15mg,27mg,10mg,0mg,0mg,0μg,0mg,0mg,,,,,
17,,面条(干切面),,,,,1485kJ,11g,0g,0mg,,78g,0g,1μg,10μg,0μg,0mg,0mg,0mg,3mg,0mg,8mg,142mg,100mg,61mg,42mg,10mg,2mg,8μg,0mg,1mg,,,,,
18,,面条(虾蓉面),,,,,1795kJ,8g,15g,0mg,,65g,4g,2μg,6μg,0μg,1mg,0mg,0mg,3mg,0mg,17mg,92mg,101mg,304mg,24mg,2mg,0mg,9μg,0mg,0mg,,,,,
19,,通心面[通心粉],,,,,1464kJ,12g,0g,0mg,,75g,0g,0μg,12μg,0μg,0mg,0mg,0mg,1mg,0mg,14mg,97mg,209mg,35mg,58mg,3mg,2mg,6μg,0mg,1mg,,,,,
20,,花卷,,,,,883kJ,6g,1g,0mg,,44g,2g,1μg,46μg,0μg,0mg,0mg,0mg,1mg,0mg,19mg,72mg,83mg,95mg,12mg,0mg,0mg,6μg,0mg,0mg,,,,,
21,,空锅饼,,,,,1159kJ,9g,0g,0mg,,60g,1g,1μg,29μg,0μg,0mg,0mg,0mg,0mg,0mg,2mg,133mg,138mg,243mg,30mg,6mg,2mg,24μg,0mg,1mg,,,,,
22,,烙饼(标准粉),,,,,1067kJ,8g,2g,0mg,,51g,2g,1μg,36μg,0μg,1mg,0mg,0mg,0mg,0mg,20mg,146mg,141mg,149mg,51mg,2mg,1mg,8μg,0mg,1mg,,,,,
23,,馒头(均值),,,,,925kJ,7g,1g,0mg,,46g,1g,1μg,44μg,0μg,1mg,0mg,0mg,0mg,0mg,38mg,107mg,138mg,165mg,30mg,2mg,1mg,8μg,0mg,1mg,,,,,
24,,馒头(标准粉),,,,,975kJ,8g,1g,0mg,,48g,2g,1μg,40μg,0μg,1mg,0mg,0mg,0mg,0mg,18mg,136mg,129mg,165mg,39mg,2mg,1mg,10μg,0mg,1mg,,,,,
25,,馒头(富强粉),,,,,870kJ,6g,1g,0mg,,43g,1g,1μg,47μg,0μg,0mg,0mg,0mg,0mg,0mg,58mg,78mg,146mg,165mg,20mg,2mg,0mg,7μg,0mg,0mg,,,,,
26,,烧饼(加糖),,,,,1226kJ,8g,2g,0mg,,61g,2g,1μg,26μg,0μg,0mg,0mg,0mg,1mg,0mg,51mg,105mg,122mg,62mg,26mg,2mg,0mg,12μg,0mg,0mg,,,,,
27,,油饼,,,,,1669kJ,8g,23g,0mg,,40g,2g,2μg,25μg,0μg,14mg,0mg,0mg,0mg,0mg,46mg,124mg,106mg,572mg,13mg,2mg,1mg,11μg,0mg,1mg,,,,,
28,,油条,,,,,1615kJ,7g,18g,0mg,,50g,1g,3μg,22μg,0μg,3mg,0mg,0mg,1mg,0mg,6mg,77mg,227mg,585mg,19mg,1mg,1mg,9μg,0mg,1mg,,,,,
29,,水面筋,,,,,590kJ,24g,0g,0mg,,11g,1g,1μg,64μg,0μg,1mg,0mg,0mg,1mg,0mg,76mg,133mg,69mg,15mg,26mg,4mg,2mg,1μg,0mg,1mg,,,,,
30,,油面筋,,,,,2050kJ,27g,25g,0mg,,39g,1g,0μg,7μg,0μg,7mg,0mg,0mg,2mg,0mg,29mg,98mg,45mg,30mg,40mg,2mg,2mg,23μg,0mg,1mg,,,,,
31,,稻米(均值),,,,,1448kJ,7g,1g,0mg,,77g,1g,1μg,13μg,0μg,0mg,0mg,0mg,2mg,0mg,13mg,110mg,103mg,4mg,34mg,2mg,2mg,2μg,0mg,1mg,,,,,
32,,粳米(标一),,,,,1435kJ,8g,1g,0mg,,77g,1g,1μg,14μg,0μg,1mg,0mg,0mg,1mg,0mg,11mg,121mg,97mg,2mg,34mg,1mg,1mg,2μg,0mg,1mg,,,,,
33,,粳米(标二),,,,,1452kJ,8g,1g,0mg,,77g,0g,0μg,13μg,0μg,1mg,0mg,0mg,3mg,0mg,3mg,99mg,78mg,1mg,20mg,0mg,1mg,6μg,0mg,1mg,,,,,
34,,粳米(标三),,,,,1443kJ,7g,1g,0mg,,77g,0g,0μg,14μg,0μg,0mg,0mg,0mg,4mg,0mg,5mg,108mg,78mg,1mg,0mg,1mg,1mg,5μg,0mg,1mg,,,,,
35,,粳米(标四),,,,,1448kJ,8g,1g,0mg,,77g,1g,1μg,13μg,0μg,0mg,0mg,0mg,5mg,0mg,4mg,123mg,106mg,2mg,20mg,1mg,1mg,5μg,0mg,1mg,,,,,
36,,粳米(特等),,,,,1397kJ,7g,0g,0mg,,75g,0g,0μg,16μg,0μg,1mg,0mg,0mg,1mg,0mg,24mg,80mg,58mg,6mg,25mg,1mg,1mg,2μg,0mg,1mg,,,,,
37,,籼米(标一),,,,,1448kJ,8g,1g,0mg,,77g,1g,1μg,13μg,0μg,0mg,0mg,0mg,2mg,0mg,7mg,146mg,89mg,3mg,33mg,1mg,1mg,4μg,0mg,1mg,,,,,
38,,籼米(标准)[机米],,,,,1452kJ,8g,1g,0mg,,78g,1g,1μg,13μg,0μg,1mg,0mg,0mg,1mg,0mg,12mg,112mg,109mg,2mg,28mg,2mg,1mg,2μg,0mg,1mg,,,,,
39,,籼米(优标),,,,,1460kJ,8g,1g,0mg,,77g,0g,1μg,13μg,0μg,0mg,0mg,0mg,3mg,0mg,8mg,85mg,64mg,1mg,13mg,0mg,2mg,7μg,0mg,1mg,,,,,
40,,早籼,,,,,1502kJ,10g,2g,0mg,,75g,1g,2μg,10μg,0μg,0mg,0mg,0mg,5mg,0mg,13mg,257mg,214mg,2mg,0mg,5mg,3mg,2μg,0mg,3mg,,,,,
41,,早籼(标一),,,,,1469kJ,9g,1g,0mg,,77g,0g,1μg,12μg,0μg,0mg,0mg,0mg,2mg,0mg,10mg,141mg,124mg,2mg,57mg,1mg,2mg,2μg,0mg,1mg,,,,,
42,,早籼(标二),,,,,1443kJ,10g,1g,0mg,,75g,0g,1μg,14μg,0μg,0mg,0mg,0mg,3mg,0mg,6mg,192mg,171mg,1mg,79mg,1mg,2mg,2μg,1mg,2mg,,,,,
43,,早籼(特等),,,,,1448kJ,9g,1g,0mg,,76g,1g,1μg,13μg,0μg,0mg,0mg,0mg,2mg,0mg,6mg,141mg,108mg,1mg,42mg,1mg,2mg,2μg,0mg,1mg,,,,,
44,,晚籼(标一),,,,,1443kJ,8g,1g,0mg,,77g,0g,1μg,14μg,0μg,0mg,0mg,0mg,2mg,0mg,9mg,140mg,112mg,2mg,53mg,1mg,2mg,3μg,0mg,1mg,,,,,
45,,晚籼(标二),,,,,1435kJ,9g,1g,0mg,,75g,0g,1μg,14μg,0μg,0mg,0mg,0mg,3mg,0mg,6mg,141mg,146mg,1mg,60mg,3mg,2mg,2μg,0mg,1mg,,,,,
46,,晚籼(特等),,,,,1431kJ,8g,0g,0mg,,77g,0g,1μg,14μg,0μg,0mg,0mg,0mg,2mg,0mg,6mg,104mg,107mg,1mg,28mg,1mg,2mg,2μg,0mg,1mg,,,,,
47,,籼稻谷(红),,,,,1439kJ,7g,2g,0mg,,74g,2g,1μg,13μg,0μg,0mg,0mg,0mg,5mg,0mg,0mg,0mg,220mg,22mg,0mg,6mg,3mg,3μg,0mg,3mg,,,,,
48,,黑米,,,,,1393kJ,9g,2g,0mg,,68g,4g,2μg,14μg,0μg,0mg,0mg,0mg,8mg,0mg,12mg,356mg,256mg,7mg,147mg,2mg,4mg,3μg,0mg,2mg,,,,,
49,,香大米,,,,,1448kJ,13g,1g,0mg,,72g,1g,1μg,13μg,0μg,1mg,0mg,0mg,3mg,0mg,8mg,106mg,49mg,22mg,12mg,5mg,1mg,5μg,1mg,2mg,,,,,
50,,糯米[江米](均值),,,,,1456kJ,7g,1g,0mg,,78g,1g,1μg,13μg,0μg,1mg,0mg,0mg,2mg,0mg,26mg,113mg,137mg,2mg,49mg,1mg,2mg,3μg,0mg,2mg,,,,,
51,,优糯米,,,,,1439kJ,9g,1g,0mg,,75g,1g,0μg,14μg,0μg,1mg,0mg,0mg,2mg,0mg,8mg,48mg,136mg,1mg,50mg,1mg,1mg,3μg,0mg,1mg,,,,,
52,,早糯谷,,,,,1481kJ,7g,3g,0mg,,74g,3g,1μg,11μg,7μg,0mg,0mg,0mg,1mg,0mg,19mg,297mg,0mg,4mg,149mg,3mg,5mg,2μg,1mg,0mg,,,,,
53,,紫红糯米[血糯米],,,,,1435kJ,8g,2g,0mg,,74g,1g,1μg,14μg,0μg,1mg,0mg,0mg,4mg,0mg,13mg,183mg,219mg,4mg,16mg,4mg,2mg,3μg,0mg,2mg,,,,,
54,,粳糯米,,,,,1435kJ,8g,1g,0mg,,76g,1g,1μg,14μg,0μg,0mg,0mg,0mg,2mg,0mg,21mg,94mg,125mg,3mg,42mg,2mg,2mg,3μg,0mg,2mg,,,,,
55,,籼糯米,,,,,1473kJ,8g,1g,0mg,,78g,0g,1μg,12μg,0μg,0mg,0mg,0mg,2mg,0mg,14mg,82mg,132mg,2mg,52mg,2mg,2mg,2μg,0mg,1mg,,,,,
56,,米饭(蒸)(均值),,,,,485kJ,3g,0g,0mg,,26g,0g,0μg,71μg,0μg,0mg,0mg,0mg,2mg,0mg,7mg,62mg,30mg,2mg,15mg,1mg,1mg,0μg,0mg,1mg,,,,,
57,,粳米饭(蒸),,,,,490kJ,3g,0g,0mg,,26g,0g,0μg,71μg,0μg,0mg,0mg,0mg,2mg,0mg,7mg,62mg,39mg,3mg,20mg,2mg,1mg,0μg,0mg,1mg,,,,,
58,,籼米饭(蒸),,,,,477kJ,2g,0g,0mg,,26g,0g,0μg,71μg,0μg,0mg,0mg,0mg,2mg,0mg,6mg,0mg,21mg,2mg,10mg,0mg,0mg,0μg,0mg,0mg,,,,,
59,,粳米粥,,,,,192kJ,1g,0g,0mg,,10g,0g,0μg,89μg,0μg,0mg,0mg,0mg,0mg,0mg,7mg,20mg,13mg,3mg,7mg,0mg,0mg,0μg,0mg,0mg,,,,,
60,,籼米粉[排米粉],,,,,1485kJ,7g,0g,0mg,,81g,0g,0μg,11μg,0μg,0mg,0mg,0mg,1mg,0mg,6mg,62mg,14mg,16mg,16mg,3mg,1mg,7μg,0mg,1mg,,,,,
61,,籼米粉(干，细),,,,,1448kJ,8g,0g,0mg,,78g,0g,1μg,12μg,0μg,0mg,0mg,0mg,0mg,0mg,0mg,53mg,43mg,6mg,23mg,1mg,2mg,3μg,0mg,1mg,,,,,
62,,高蛋白豆米粉(籼米),,,,,1732kJ,16g,7g,0mg,,71g,0g,3μg,2μg,0μg,0mg,1mg,1mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
63,,玉米(鲜),,,,,444kJ,4g,1g,0mg,,20g,3g,1μg,71μg,0μg,0mg,0mg,0mg,2mg,16mg,0mg,117mg,238mg,1mg,32mg,1mg,1mg,2μg,0mg,0mg,,,,,
64,,玉米(白，干),,,,,1406kJ,9g,4g,0mg,,67g,8g,1μg,12μg,0μg,8mg,0mg,0mg,2mg,0mg,10mg,244mg,262mg,2mg,95mg,2mg,2mg,4μg,0mg,1mg,,,,,
65,,玉米(黄，干),,,,,1402kJ,9g,4g,0mg,,67g,6g,1μg,13μg,17μg,4mg,0mg,0mg,2mg,0mg,14mg,218mg,300mg,3mg,96mg,2mg,2mg,4μg,0mg,0mg,,,,,
66,,玉米面(白),,,,,1423kJ,8g,4g,0mg,,67g,6g,1μg,13μg,0μg,7mg,0mg,0mg,3mg,0mg,12mg,187mg,276mg,0mg,111mg,1mg,1mg,2μg,0mg,0mg,,,,,
67,,玉米面(黄),,,,,1427kJ,8g,3g,0mg,,70g,6g,1μg,12μg,7μg,4mg,0mg,0mg,2mg,0mg,22mg,196mg,249mg,2mg,84mg,3mg,1mg,2μg,0mg,0mg,,,,,
68,,玉米面(强化豆粉),,,,,1418kJ,12g,5g,0mg,,62g,6g,1μg,14μg,0μg,7mg,0mg,0mg,3mg,0mg,18mg,234mg,370mg,2mg,106mg,3mg,1mg,9μg,0mg,1mg,,,,,
69,,玉米糁(黄),,,,,1452kJ,8g,3g,0mg,,72g,4g,1μg,13μg,0μg,1mg,0mg,0mg,1mg,0mg,49mg,143mg,177mg,2mg,151mg,2mg,1mg,5μg,0mg,0mg,,,,,
70,,玉米笋(罐头),,,,,25kJ,1g,0g,0mg,,0g,5g,1μg,93μg,7μg,0mg,0mg,0mg,0mg,0mg,6mg,4mg,36mg,171mg,0mg,0mg,0mg,1μg,0mg,0mg,,,,,
71,,大麦[元麦],,,,,1284kJ,10g,1g,0mg,,63g,10g,2μg,13μg,0μg,1mg,0mg,0mg,4mg,0mg,66mg,381mg,49mg,0mg,158mg,6mg,4mg,10μg,1mg,1mg,,,,,
72,,肚里黄,,,,,1343kJ,9g,1g,0mg,,69g,8g,2μg,12μg,0μg,1mg,0mg,0mg,2mg,0mg,3mg,436mg,223mg,5mg,80mg,2mg,2mg,0μg,14mg,1mg,,,,,
73,,青稞,,,,,1418kJ,8g,2g,0mg,,73g,2g,3μg,12μg,0μg,1mg,0mg,0mg,7mg,0mg,113mg,405mg,644mg,77mg,65mg,41mg,2mg,5μg,5mg,2mg,,,,,
74,,小米,,,,,1498kJ,9g,3g,0mg,,74g,2g,1μg,12μg,17μg,4mg,0mg,0mg,2mg,0mg,41mg,229mg,284mg,4mg,107mg,5mg,2mg,5μg,1mg,1mg,,,,,
75,,小米面,,,,,1490kJ,7g,2g,0mg,,77g,1g,1μg,12μg,0μg,0mg,0mg,0mg,2mg,0mg,40mg,159mg,129mg,6mg,57mg,6mg,1mg,3μg,0mg,1mg,,,,,
76,,小米粥,,,,,192kJ,1g,1g,0mg,,8g,0g,0μg,89μg,0μg,0mg,0mg,0mg,1mg,0mg,10mg,32mg,19mg,4mg,22mg,1mg,0mg,0μg,0mg,0mg,,,,,
77,,大黄米[黍子],,,,,1460kJ,14g,3g,0mg,,68g,4g,1μg,11μg,0μg,2mg,0mg,0mg,1mg,0mg,30mg,244mg,201mg,2mg,116mg,6mg,3mg,2μg,1mg,2mg,,,,,
78,,黄米,,,,,1431kJ,10g,2g,0mg,,72g,4g,1μg,11μg,0μg,5mg,0mg,0mg,1mg,0mg,0mg,0mg,0mg,3mg,0mg,0mg,2mg,0μg,1mg,0mg,,,,,
79,,高粱米,,,,,1469kJ,10g,3g,0mg,,70g,4g,2μg,10μg,0μg,2mg,0mg,0mg,2mg,0mg,22mg,329mg,281mg,6mg,129mg,6mg,2mg,3μg,1mg,1mg,,,,,
80,,糜子(带皮),,,,,1351kJ,11g,1g,0mg,,69g,6g,4μg,9μg,0μg,4mg,0mg,0mg,1mg,0mg,99mg,205mg,148mg,10mg,146mg,5mg,2mg,12μg,1mg,1mg,,,,,
81,,糜子米(炒米),,,,,1565kJ,8g,3g,0mg,,80g,1g,1μg,8μg,0μg,0mg,0mg,0mg,1mg,0mg,12mg,233mg,252mg,11mg,112mg,14mg,2mg,5μg,0mg,1mg,,,,,
82,,苦荞麦粉,,,,,1272kJ,10g,3g,0mg,,60g,6g,2μg,19μg,0μg,2mg,0mg,0mg,2mg,0mg,39mg,244mg,320mg,2mg,94mg,4mg,2mg,6μg,1mg,1mg,,,,,
83,,荞麦,,,,,1356kJ,9g,2g,0mg,,66g,6g,2μg,13μg,3μg,4mg,0mg,0mg,2mg,0mg,47mg,297mg,401mg,5mg,258mg,6mg,4mg,2μg,1mg,2mg,,,,,
84,,荞麦(带皮),,,,,1222kJ,10g,2g,0mg,,60g,13g,2μg,14μg,0μg,0mg,0mg,0mg,1mg,0mg,154mg,296mg,439mg,4mg,193mg,10mg,3mg,1μg,14mg,1mg,,,,,
85,,莜麦面,,,,,1531kJ,12g,7g,0mg,,63g,5g,2μg,11μg,3μg,8mg,0mg,0mg,4mg,0mg,27mg,35mg,319mg,2mg,146mg,14mg,2mg,0μg,1mg,4mg,,,,,
86,,薏米[薏仁米，苡米],,,,,1494kJ,13g,3g,0mg,,69g,2g,2μg,11μg,0μg,2mg,0mg,0mg,2mg,0mg,42mg,217mg,238mg,4mg,88mg,4mg,2mg,3μg,0mg,1mg,,,,,
87,,薏米面,,,,,1431kJ,11g,2g,0mg,,69g,5g,2μg,11μg,0μg,5mg,0mg,0mg,2mg,0mg,42mg,134mg,163mg,2mg,50mg,7mg,1mg,3μg,0mg,2mg,,,,,
88,,马铃薯[土豆，洋芋],,,,,318kJ,2g,0g,0mg,,16g,1g,1μg,80μg,5μg,0mg,0mg,0mg,1mg,27mg,8mg,40mg,342mg,3mg,23mg,1mg,0mg,1μg,0mg,0mg,,,,,
89,,马铃薯丁(脱水),,,,,1410kJ,6g,0g,0mg,,77g,3g,2μg,11μg,0μg,0mg,0mg,0mg,0mg,20mg,39mg,87mg,267mg,23mg,51mg,2mg,0mg,2μg,1mg,0mg,,,,,
90,,马铃薯粉,,,,,1410kJ,7g,0g,0mg,,76g,1g,3μg,12μg,20μg,0mg,0mg,0mg,5mg,0mg,171mg,123mg,1075mg,5mg,27mg,11mg,1mg,2μg,1mg,0mg,,,,,
91,,甘薯(白心)[红皮山芋],,,,,435kJ,1g,0g,0mg,,24g,1g,1μg,73μg,37μg,0mg,0mg,0mg,1mg,24mg,24mg,46mg,174mg,58mg,17mg,1mg,0mg,1μg,0mg,0mg,,,,,
92,,甘薯(红心)[山芋，红薯],,,,,414kJ,1g,0g,0mg,,23g,2g,1μg,73μg,125μg,0mg,0mg,0mg,1mg,26mg,23mg,39mg,130mg,28mg,12mg,0mg,0mg,0μg,0mg,0mg,,,,,
93,,甘薯片[白薯干],,,,,1423kJ,5g,1g,0mg,,78g,2g,2μg,12μg,25μg,0mg,0mg,0mg,1mg,9mg,112mg,115mg,353mg,26mg,102mg,4mg,0mg,3μg,0mg,1mg,,,,,
94,,甘薯粉[地瓜粉],,,,,1406kJ,3g,0g,0mg,,81g,0g,2μg,14μg,3μg,0mg,0mg,0mg,0mg,0mg,33mg,12mg,66mg,26mg,102mg,10mg,0mg,3μg,0mg,0mg,,,,,
95,,木薯,,,,,485kJ,2g,0g,0mg,,26g,2g,1μg,69μg,0μg,0mg,0mg,0mg,1mg,35mg,88mg,50mg,764mg,8mg,66mg,2mg,0mg,0μg,0mg,0mg,,,,,
96,,蚕豆淀粉,,,,,1427kJ,0g,0g,0mg,,85g,0g,0μg,14μg,0μg,0mg,0mg,0mg,0mg,0mg,36mg,29mg,10mg,18mg,8mg,2mg,0mg,1μg,0mg,0mg,,,,,
97,,豌豆淀粉,,,,,1427kJ,1g,0g,0mg,,85g,0g,1μg,14μg,0μg,0mg,0mg,0mg,0mg,0mg,4mg,10mg,93mg,3mg,4mg,2mg,0mg,0μg,0mg,0mg,,,,,
98,,玉米淀粉,,,,,1443kJ,1g,0g,0mg,,85g,0g,0μg,14μg,0μg,0mg,0mg,0mg,1mg,0mg,18mg,25mg,8mg,6mg,6mg,4mg,0mg,1μg,0mg,0mg,,,,,
99,,团粉[芡粉],,,,,1448kJ,2g,0g,0mg,,85g,1g,0μg,13μg,0μg,0mg,0mg,0mg,0mg,0mg,34mg,25mg,16mg,13mg,14mg,4mg,0mg,0μg,0mg,0mg,,,,,
100,,藕粉,,,,,1556kJ,0g,0g,0mg,,93g,0g,0μg,6μg,0μg,0mg,0mg,0mg,0mg,0mg,8mg,9mg,35mg,11mg,2mg,18mg,0mg,2μg,0mg,0mg,,,,,
101,,桂花藕粉,,,,,1439kJ,0g,0g,0mg,,85g,0g,1μg,14μg,0μg,0mg,0mg,0mg,0mg,0mg,36mg,13mg,14mg,6mg,5mg,21mg,0mg,0μg,0mg,0mg,,,,,
102,,魔芋精粉[鬼芋粉，南星粉],,,,,155kJ,5g,0g,0mg,,4g,74g,4μg,12μg,0μg,0mg,0mg,0mg,0mg,0mg,45mg,272mg,299mg,50mg,66mg,2mg,2mg,350μg,0mg,1mg,,,,,
103,,粉丝,,,,,1402kJ,1g,0g,0mg,,83g,1g,0μg,15μg,0μg,0mg,0mg,0mg,0mg,0mg,31mg,16mg,18mg,9mg,11mg,6mg,0mg,3μg,0mg,0mg,,,,,
104,,豌豆粉丝,,,,,1536kJ,0g,0g,0mg,,91g,0g,0μg,8μg,0μg,0mg,0mg,0mg,0mg,0mg,10mg,9mg,6mg,5mg,4mg,4mg,0mg,0μg,0mg,0mg,,,,,
105,,粉条,,,,,1410kJ,0g,0g,0mg,,84g,1g,1μg,14μg,0μg,0mg,0mg,0mg,0mg,0mg,35mg,23mg,18mg,10mg,11mg,5mg,1mg,2μg,0mg,0mg,,,,,
106,,黄豆[大豆],,,,,1502kJ,35g,16g,0mg,,19g,16g,5μg,10μg,37μg,19mg,0mg,0mg,2mg,0mg,191mg,465mg,1503mg,2mg,199mg,8mg,3mg,6μg,1mg,2mg,,,,,
107,,黑豆[黑大豆],,,,,1594kJ,36g,16g,0mg,,23g,10g,5μg,10μg,5μg,17mg,0mg,0mg,2mg,0mg,224mg,500mg,1377mg,3mg,243mg,7mg,4mg,7μg,2mg,3mg,,,,,
108,,青豆[青大豆],,,,,1561kJ,34g,16g,0mg,,23g,13g,5μg,10μg,132μg,10mg,0mg,0mg,3mg,0mg,200mg,395mg,718mg,2mg,128mg,8mg,3mg,6μg,1mg,2mg,,,,,
109,,黄豆粉,,,,,1749kJ,33g,18g,0mg,,31g,7g,5μg,7μg,63μg,34mg,0mg,0mg,2mg,0mg,207mg,395mg,1890mg,4mg,129mg,8mg,4mg,2μg,1mg,2mg,,,,,
110,,豆腐花[豆腐粉],,,,,1678kJ,10g,3g,0mg,,84g,0g,2μg,2μg,42μg,5mg,0mg,0mg,0mg,0mg,175mg,95mg,339mg,0mg,60mg,3mg,1mg,2μg,0mg,1mg,,,,,
111,,豆浆粉,,,,,1766kJ,20g,9g,0mg,,65g,2g,3μg,2μg,0μg,18mg,0mg,0mg,1mg,0mg,101mg,253mg,771mg,26mg,122mg,4mg,2mg,3μg,1mg,1mg,,,,,
112,,豆粕,,,,,1297kJ,42g,2g,0mg,,30g,8g,6μg,12μg,0μg,6mg,0mg,0mg,2mg,0mg,154mg,28mg,1391mg,76mg,158mg,15mg,0mg,2μg,1mg,2mg,,,,,
113,,豆粕(膨化)[大豆蛋白],,,,,1343kJ,37g,1g,0mg,,42g,6g,5μg,9μg,0μg,1mg,0mg,0mg,6mg,0mg,144mg,161mg,950mg,3mg,60mg,10mg,3mg,3μg,1mg,2mg,,,,,
114,,豆腐(均值),,,,,339kJ,8g,4g,0mg,,4g,0g,1μg,83μg,0μg,3mg,0mg,0mg,0mg,0mg,164mg,119mg,125mg,7mg,27mg,2mg,1mg,2μg,0mg,0mg,,,,,
115,,豆腐(北),,,,,410kJ,12g,5g,0mg,,2g,0g,1μg,80μg,5μg,7mg,0mg,0mg,0mg,0mg,138mg,158mg,106mg,7mg,63mg,2mg,1mg,2μg,0mg,1mg,,,,,
116,,豆腐(南)[南豆腐],,,,,238kJ,6g,2g,0mg,,2g,0g,1μg,88μg,0μg,4mg,0mg,0mg,1mg,0mg,116mg,90mg,154mg,3mg,36mg,2mg,1mg,3μg,0mg,0mg,,,,,
117,,豆腐(内酯),,,,,205kJ,5g,2g,0mg,,3g,0g,1μg,89μg,0μg,3mg,0mg,0mg,0mg,0mg,17mg,57mg,95mg,6mg,24mg,1mg,1mg,1μg,0mg,0mg,,,,,
118,,豆腐脑[老豆腐],,,,,63kJ,2g,1g,0mg,,0g,0g,1μg,97μg,0μg,10mg,0mg,0mg,0mg,0mg,18mg,5mg,107mg,3mg,28mg,1mg,0mg,0μg,0mg,0mg,,,,,
119,,豆浆,,,,,59kJ,2g,1g,0mg,,0g,1g,0μg,96μg,15μg,1mg,0mg,0mg,0mg,0mg,10mg,30mg,48mg,3mg,9mg,0mg,0mg,0μg,0mg,0mg,,,,,
