food_name,dietary_fiber
鸡尾酒,0.00g
马提尼酒(32%),0.00g
夹心糖,Tr
水果味软糖,0.10g
酸奶软糖,Tr
巧克力(黑),5.90g
冰糖酸角,6.90g
甘草杏,12.50g
雪梅,13.00g
九制梅肉,17.10g
九制西梅,14.10g
九制应子,13.10g
梅脯,4.50g
黑贡枣,6.40g
核桃油,0.00g
栗米油[玉米胚芽油],0.00g
米糠油,0.00g
油茶籽油,0.00g
芝麻油[香油],0.00g
大豆色拉油,0.00g
色拉油,0.00g
花生酱(加巧克力),8.20g
千岛沙拉酱,1.10g
奶油攀司,0.00g
草莓酱,1.00g
番茄沙司,1.40g
剁辣椒,5.90g
腌大头菜,4.20g
腌芥菜头,3.30g
腌萝卜条,5.70g
榨菜(正林牌),3.30g
鸡精,0.70g
料酒,0.00g
橙汁饮料(光明牌),0.20g
荔枝(干),5.30g
咖喱粉,36.90g
咖啡豆,55.10g
咖啡粉,0.00g
生抽,Tr
