mufa,pufa,fat,vitamin_a,zinc,id,edible_part,carotene,vitamin_c,magnesium,selenium,iodine,thiamin,fatty_acids_total,potassium,dietary_fiber,alias_name,energy,niacin,calcium,cate_id,protein,riboflavin,sodium,copper,water,carbohydrate,vitamin_e,phosphorus,iron,food_name,english_name,cholesterol,ash,retinol,manganese,sfa
"""24.1%""","""44.8%""","""2g""","""0μg""","""2mg""","""259""","""100%""","""1μg""","""0mg""","""50mg""","""5.40μg""","""""","""0.28mg""","""99.2%""","""190mg""","""2g""","""""","""1497kJ""","""2.00mg""","""31mg""","""30""","""11.2g""","""0.08mg""","""3.1mg""","""0.42mg""","""12.7g""","""73.6g""","""2mg""","""188mg""","""4mg""","""小麦粉(标准粉)""","""""","""0mg""","""1.0g""","""13μg""","""2mg""","""30.3%"""
"""24.1%""","""44.8%""","""1.1g""","""0μg""","""1mg""","""260""","""100%""","""1μg""","""0mg""","""32mg""","""7μg""","""""","""0.17mg""","""99.2%""","""128mg""","""1g""","""""","""1494kJ""","""2.00mg""","""27mg""","""30""","""10.3g""","""0.06mg""","""3mg""","""0.26mg""","""12.7g""","""75.2g""","""1mg""","""114mg""","""3mg""","""小麦粉(富强粉，特一粉)""","""""","""0mg""","""0.7g""","""13μg""","""1mg""","""30.3%"""
"""—""","""—""","""1g""","""0μg""","""1mg""","""261""","""100%""","""1μg""","""0mg""","""49mg""","""12μg""","""""","""0.19mg""","""—""","""129mg""","""1g""","""""","""1483kJ""","""2.50mg""","""17mg""","""30""","""10.3g""","""0.04mg""","""184.5mg""","""0.39mg""","""12.3g""","""75.6g""","""1mg""","""134mg""","""3.0mg""","""挂面(均值)""","""""","""0mg""","""1.2g""","""12μg""","""1mg""","""—"""
"""24.1%""","""44.8%""","""1g""","""0μg""","""1.22mg""","""262""","""100%""","""1μg""","""0mg""","""51mg""","""10μg""","""""","""0.19mg""","""99.2%""","""157mg""","""2g""","""""","""1490kJ""","""2.50mg""","""14mg""","""30""","""10.1g""","""0.04mg""","""150.0mg""","""0.44mg""","""12.4g""","""76.0g""","""1mg""","""153mg""","""4mg""","""挂面(标准粉)""","""""","""0mg""","""0.8g""","""12μg""","""1.28mg""","""30.3%"""
"""24.1%""","""44.8%""","""1g""","""0μg""","""1mg""","""263""","""100%""","""1μg""","""0mg""","""48mg""","""11.10μg""","""""","""0.20mg""","""99.2%""","""122mg""","""0g""","""""","""1477kJ""","""2.40mg""","""21mg""","""30""","""10g""","""0.04mg""","""111mg""","""0.40mg""","""12.7g""","""76.0g""","""1mg""","""112mg""","""3.2mg""","""挂面(富强粉)""","""""","""0mg""","""1.1g""","""13μg""","""1mg""","""30.3%"""
"""—""","""—""","""1g""","""0μg""","""1.43mg""","""264""","""100%""","""1μg""","""0mg""","""39mg""","""12μg""","""""","""0.22mg""","""—""","""135mg""","""1g""","""""","""1219kJ""","""1.40mg""","""11mg""","""30""","""8.3g""","""0.07mg""","""28.0mg""","""0.17mg""","""28.5g""","""61.9g""","""1mg""","""162mg""","""4mg""","""面条(均值)""","""""","""0mg""","""0.6g""","""28μg""","""1mg""","""—"""
"""—""","""—""","""2g""","""0μg""","""1.07mg""","""265""","""100%""","""1μg""","""0mg""","""61mg""","""0.40μg""","""""","""0.35mg""","""—""","""161mg""","""2g""","""""","""1215kJ""","""3.10mg""","""13mg""","""30""","""8.5g""","""0.10mg""","""3.4mg""","""0.20mg""","""29.7g""","""59.5g""","""0mg""","""142mg""","""3mg""","""面条(标准粉，切面)""","""""","""0mg""","""0.7g""","""30μg""","""1.35mg""","""—"""
"""—""","""—""","""1.1g""","""0μg""","""1mg""","""266""","""100%""","""0μg""","""0mg""","""29mg""","""17.30μg""","""""","""0.18mg""","""—""","""102mg""","""0g""","""""","""1217kJ""","""2.20mg""","""24mg""","""30""","""9.3g""","""0.04mg""","""2mg""","""0.14mg""","""29.2g""","""60g""","""0mg""","""92mg""","""2.0mg""","""面条(富强粉，切面)""","""""","""0mg""","""0.5g""","""29μg""","""1mg""","""—"""
"""—""","""—""","""0.1g""","""0μg""","""2mg""","""267""","""100%""","""1μg""","""0mg""","""42mg""","""8μg""","""""","""0.28mg""","""—""","""100mg""","""0g""","""""","""1512kJ""","""3mg""","""8mg""","""30""","""11.0g""","""0.05mg""","""61mg""","""0.22mg""","""10.5g""","""78g""","""0mg""","""142mg""","""10mg""","""面条(干切面)""","""""","""0mg""","""0.7g""","""10μg""","""1mg""","""—"""
"""—""","""—""","""0.1g""","""0μg""","""2mg""","""268""","""100%""","""0μg""","""0mg""","""58mg""","""6μg""","""""","""0.12mg""","""—""","""209mg""","""0g""","""""","""1495kJ""","""1.00mg""","""14mg""","""30""","""12g""","""0.03mg""","""35.0mg""","""0.16mg""","""11.8g""","""75.8g""","""0mg""","""97mg""","""3mg""","""通心面[通心粉]""","""""","""0mg""","""0.4g""","""12μg""","""1mg""","""—"""
"""—""","""—""","""1.0g""","""0μg""","""0mg""","""269""","""100%""","""1μg""","""0mg""","""12mg""","""6.20μg""","""""","""0mg""","""—""","""83mg""","""2g""","""""","""921kJ""","""1.10mg""","""19mg""","""30""","""6.4g""","""0.02mg""","""95.0mg""","""0.09mg""","""45.7g""","""45.6g""","""0mg""","""72mg""","""0.4mg""","""花卷""","""""","""0mg""","""1.3g""","""46μg""","""0mg""","""—"""
"""—""","""—""","""0.2g""","""0μg""","""2mg""","""270""","""100%""","""1μg""","""0mg""","""30mg""","""24.20μg""","""""","""0.14mg""","""—""","""138mg""","""1g""","""""","""1189kJ""","""0.00mg""","""2mg""","""30""","""9g""","""0mg""","""243.2mg""","""0.13mg""","""29.4g""","""60.9g""","""0mg""","""133mg""","""6mg""","""空锅饼""","""""","""0mg""","""0.9g""","""29μg""","""1mg""","""—"""
"""—""","""—""","""2.3g""","""0μg""","""1mg""","""271""","""100%""","""1μg""","""0mg""","""51mg""","""8μg""","""""","""0.02mg""","""—""","""141mg""","""2g""","""""","""1112kJ""","""0mg""","""20mg""","""30""","""8g""","""0.04mg""","""149.3mg""","""0.15mg""","""36.4g""","""52.9g""","""1mg""","""146mg""","""2.4mg""","""烙饼(标准粉)""","""""","""0mg""","""0.9g""","""36μg""","""1.15mg""","""—"""
"""—""","""—""","""1.1g""","""0μg""","""1mg""","""272""","""100%""","""1μg""","""0mg""","""30mg""","""8.40μg""","""""","""0.04mg""","""—""","""138mg""","""1g""","""""","""959kJ""","""0mg""","""38mg""","""30""","""7.0g""","""0.05mg""","""165.1mg""","""0.10mg""","""43.9g""","""47.0g""","""1mg""","""107mg""","""2mg""","""馒头(均值)""","""""","""0mg""","""1.0g""","""44μg""","""1mg""","""—"""
"""—""","""—""","""1.0g""","""0μg""","""1.01mg""","""273""","""100%""","""1μg""","""0mg""","""39mg""","""10μg""","""""","""0.05mg""","""—""","""129mg""","""2g""","""""","""1016kJ""","""0mg""","""18mg""","""30""","""8g""","""0.07mg""","""165.2mg""","""0.14mg""","""40.5g""","""49.8g""","""1mg""","""136mg""","""2mg""","""馒头(标准粉)""","""""","""0mg""","""0.9g""","""40μg""","""1.27mg""","""—"""
"""—""","""—""","""1.2g""","""0μg""","""0.40mg""","""274""","""100%""","""1μg""","""0mg""","""20mg""","""7.20μg""","""""","""0.02mg""","""—""","""146mg""","""1g""","""""","""901kJ""","""0mg""","""58mg""","""30""","""6.2g""","""0.02mg""","""165.0mg""","""0.05mg""","""47.3g""","""44.2g""","""0mg""","""78mg""","""2mg""","""馒头(富强粉)""","""""","""0mg""","""1.1g""","""47μg""","""0.29mg""","""—"""
"""—""","""—""","""2.1g""","""0μg""","""0.36mg""","""275""","""100%""","""1μg""","""0mg""","""26mg""","""12.20μg""","""""","""0mg""","""—""","""122mg""","""2g""","""""","""1280kJ""","""1.10mg""","""51mg""","""30""","""8.0g""","""0.01mg""","""62.5mg""","""0.15mg""","""25.9g""","""62.7g""","""0mg""","""105mg""","""2mg""","""烧饼(加糖)""","""""","""0mg""","""1.3g""","""26μg""","""0mg""","""—"""
"""—""","""—""","""23g""","""0μg""","""1mg""","""276""","""100%""","""2μg""","""0mg""","""13mg""","""11μg""","""""","""0.11mg""","""—""","""106mg""","""2g""","""""","""1702kJ""","""0mg""","""46mg""","""30""","""8g""","""0.05mg""","""572.5mg""","""0.27mg""","""24.8g""","""42.4g""","""14mg""","""124mg""","""2.3mg""","""油饼""","""""","""0mg""","""2.0g""","""25μg""","""1mg""","""—"""
"""63.8%""","""19.0%""","""18g""","""0μg""","""1mg""","""277""","""100%""","""3μg""","""0mg""","""19mg""","""9μg""","""""","""0.01mg""","""88.4%""","""227mg""","""1g""","""""","""1636kJ""","""1mg""","""6mg""","""30""","""7g""","""0.07mg""","""585.2mg""","""0.19mg""","""21.8g""","""51.0g""","""3mg""","""77mg""","""1.0mg""","""油条""","""""","""0mg""","""2.7g""","""22μg""","""1mg""","""4.1%"""
"""—""","""—""","""0.1g""","""0μg""","""2mg""","""278""","""100%""","""1μg""","""0mg""","""26mg""","""1.00μg""","""""","""0.10mg""","""—""","""69mg""","""1g""","""""","""612kJ""","""1.10mg""","""76mg""","""30""","""24g""","""0.07mg""","""15.0mg""","""0.19mg""","""63.5g""","""12.3g""","""1mg""","""133mg""","""4.2mg""","""水面筋""","""""","""0mg""","""0.6g""","""64μg""","""1mg""","""—"""
"""18.3%""","""54.0%""","""25.1g""","""0μg""","""2.29mg""","""279""","""100%""","""0μg""","""0mg""","""40mg""","""23μg""","""""","""0.03mg""","""100.0%""","""45mg""","""1g""","""""","""2073kJ""","""2.20mg""","""29mg""","""30""","""27g""","""0.05mg""","""30mg""","""0.50mg""","""7.1g""","""40.4g""","""7mg""","""98mg""","""2.5mg""","""油面筋""","""""","""0mg""","""0.5g""","""7μg""","""1.28mg""","""27.7%"""
"""—""","""—""","""1g""","""0μg""","""2mg""","""280""","""100%""","""1μg""","""0mg""","""34mg""","""2.20μg""","""""","""0.11mg""","""—""","""103mg""","""1g""","""""","""1480kJ""","""2mg""","""13mg""","""31""","""7.4g""","""0.05mg""","""4mg""","""0.30mg""","""13.3g""","""77.9g""","""0mg""","""110mg""","""2.3mg""","""稻米(均值)""","""""","""0mg""","""0.6g""","""13μg""","""1.29mg""","""—"""
"""—""","""—""","""1g""","""0μg""","""1.45mg""","""281""","""100%""","""1μg""","""0mg""","""34mg""","""2.50μg""","""""","""0.16mg""","""—""","""97mg""","""1g""","""""","""1469kJ""","""1.30mg""","""11mg""","""31""","""8g""","""0.08mg""","""2.4mg""","""0.19mg""","""13.7g""","""77.4g""","""1mg""","""121mg""","""1.1mg""","""粳米(标一)""","""""","""0mg""","""0.6g""","""14μg""","""1.36mg""","""—"""
"""39.4%""","""33.1%""","""1g""","""0μg""","""1.47mg""","""282""","""100%""","""1μg""","""0mg""","""28mg""","""2.00μg""","""""","""0.09mg""","""98.7%""","""109mg""","""1g""","""""","""1488kJ""","""1.40mg""","""12mg""","""31""","""8g""","""0.04mg""","""2mg""","""0.29mg""","""12.6g""","""78.3g""","""1mg""","""112mg""","""2mg""","""籼米(标准)[机米]""","""""","""0mg""","""0.6g""","""13μg""","""1.27mg""","""26.2%"""
"""—""","""—""","""1g""","""0μg""","""1mg""","""283""","""100%""","""1μg""","""0mg""","""12mg""","""5μg""","""""","""0mg""","""—""","""49mg""","""1g""","""""","""1480kJ""","""3mg""","""8mg""","""31""","""13g""","""0.08mg""","""22mg""","""1mg""","""12.9g""","""72.4g""","""1mg""","""106mg""","""5.1mg""","""香大米""","""""","""0mg""","""1.1g""","""13μg""","""2mg""","""—"""
"""22.6%""","""39.6%""","""1.1g""","""0.0μg""","""0.15mg""","""284""","""100%""","""0.0μg""","""0.0mg""","""28mg""","""2.80μg""","""Tr""","""0.07mg""","""98.4%""","""109mg""","""5.90g""","""""","""1441kJ""","""0.94mg""","""12mg""","""31""","""7.5g""","""0.02mg""","""1.7mg""","""0.01mg""","""13.1g""","""78.0g""","""0.00mg""","""112mg""","""0.1mg""","""籼米""","""""","""—""","""0.3g""","""""","""0.02mg""","""36.2%"""
"""—""","""—""","""1.0g""","""0μg""","""2mg""","""285""","""100%""","""1μg""","""0mg""","""49mg""","""3μg""","""""","""0.11mg""","""—""","""137mg""","""1g""","""""","""1492kJ""","""2.30mg""","""26mg""","""31""","""7.3g""","""0.04mg""","""2mg""","""0.25mg""","""12.6g""","""78.3g""","""1mg""","""113mg""","""1.4mg""","""糯米[江米](均值)""","""""","""0mg""","""0.8g""","""13μg""","""2mg""","""—"""
"""—""","""—""","""2g""","""0μg""","""2.16mg""","""286""","""100%""","""1μg""","""0mg""","""16mg""","""3μg""","""""","""0.31mg""","""—""","""219mg""","""1g""","""""","""1481kJ""","""4.20mg""","""13mg""","""31""","""8.3g""","""0.12mg""","""4.0mg""","""0.29mg""","""13.8g""","""75.1g""","""1mg""","""183mg""","""4mg""","""紫红糯米[血糯米]""","""""","""0mg""","""1.1g""","""14μg""","""2.37mg""","""—"""
"""—""","""—""","""0.3g""","""0μg""","""1mg""","""287""","""100%""","""0μg""","""0mg""","""15mg""","""0.40μg""","""""","""0.02mg""","""—""","""30mg""","""0g""","""""","""496kJ""","""2mg""","""7mg""","""31""","""3g""","""0.03mg""","""2.5mg""","""0.06mg""","""70.9g""","""26g""","""0mg""","""62mg""","""1.3mg""","""米饭(蒸)(均值)""","""""","""0mg""","""0.3g""","""71μg""","""1mg""","""—"""
"""—""","""—""","""0.3g""","""0μg""","""0.20mg""","""288""","""100%""","""0μg""","""0mg""","""7mg""","""0.20μg""","""""","""0mg""","""—""","""13mg""","""0g""","""""","""198kJ""","""0.20mg""","""7mg""","""31""","""1.1g""","""0.03mg""","""3mg""","""0.03mg""","""88.6g""","""10g""","""0mg""","""20mg""","""0.1mg""","""粳米粥""","""""","""0mg""","""0.1g""","""89μg""","""0.20mg""","""—"""
"""—""","""—""","""0.1g""","""0μg""","""1mg""","""289""","""100%""","""0μg""","""0mg""","""16mg""","""7.50μg""","""""","""0.02mg""","""—""","""14mg""","""0g""","""""","""1515kJ""","""1mg""","""6mg""","""31""","""7.4g""","""0.02mg""","""16.3mg""","""0.30mg""","""10.7g""","""81.5g""","""0mg""","""62mg""","""3.2mg""","""籼米粉[排米粉]""","""""","""0mg""","""0.3g""","""11μg""","""1mg""","""—"""
"""—""","""—""","""0.1g""","""0μg""","""2.27mg""","""290""","""100%""","""1μg""","""0mg""","""23mg""","""3.40μg""","""""","""0.03mg""","""—""","""43mg""","""0g""","""""","""1471kJ""","""0.20mg""","""0mg""","""31""","""8.0g""","""0mg""","""6mg""","""0.09mg""","""12.3g""","""78.3g""","""0mg""","""53mg""","""1.4mg""","""籼米粉(干，细)""","""""","""0mg""","""1.3g""","""12μg""","""1mg""","""—"""
"""21.7%""","""38.9%""","""0.2g""","""0.0μg""","""0.12mg""","""291""","""100%""","""0.0μg""","""0.0mg""","""7mg""","""0.70μg""","""Tr""","""Tr""","""99.9%""","""13mg""","""0.70g""","""""","""251kJ""","""—""","""7mg""","""31""","""1.3g""","""Tr""","""2.8mg""","""0.01mg""","""85.0g""","""13.4g""","""0.00mg""","""20mg""","""0.1mg""","""籼米粥""","""""","""—""","""0.1g""","""""","""0.01mg""","""39.3%"""
"""—""","""—""","""1.2g""","""0μg""","""1mg""","""292""","""46%""","""1μg""","""16.0mg""","""32mg""","""2μg""","""""","""0.16mg""","""—""","""238mg""","""3g""","""""","""500kJ""","""2mg""","""0mg""","""32""","""4.0g""","""0.11mg""","""1.1mg""","""0.09mg""","""71.3g""","""22.8g""","""0mg""","""117mg""","""1.1mg""","""玉米(鲜)""","""""","""0mg""","""0.7g""","""71μg""","""0.22mg""","""—"""
"""—""","""—""","""4g""","""0μg""","""2mg""","""293""","""100%""","""1μg""","""0mg""","""95mg""","""4.10μg""","""""","""0.27mg""","""—""","""262mg""","""8g""","""""","""1560kJ""","""2.30mg""","""10mg""","""32""","""9g""","""0.07mg""","""2.5mg""","""0.26mg""","""11.7g""","""74.7g""","""8mg""","""244mg""","""2.2mg""","""玉米(白，干)""","""""","""0mg""","""1.0g""","""12μg""","""1mg""","""—"""
"""—""","""—""","""4g""","""17μg""","""2mg""","""294""","""100%""","""100.0μg""","""0mg""","""96mg""","""4μg""","""""","""0.21mg""","""—""","""300mg""","""6g""","""""","""1530kJ""","""2.50mg""","""14mg""","""32""","""9g""","""0.13mg""","""3.3mg""","""0.25mg""","""13.2g""","""73.0g""","""4mg""","""218mg""","""2.4mg""","""玉米(黄，干)""","""""","""0mg""","""1.3g""","""13μg""","""0.48mg""","""—"""
"""28.4%""","""56.3%""","""4.5g""","""0μg""","""1.22mg""","""295""","""100%""","""1μg""","""0mg""","""111mg""","""2μg""","""""","""0.34mg""","""100.0%""","""276mg""","""6g""","""""","""1545kJ""","""3.00mg""","""12mg""","""32""","""8.0g""","""0.06mg""","""0.5mg""","""0.23mg""","""13.4g""","""73.1g""","""7mg""","""187mg""","""1.3mg""","""玉米面(白)""","""""","""0mg""","""1.0g""","""13μg""","""0.40mg""","""15.3%"""
"""—""","""—""","""3.3g""","""7μg""","""1.42mg""","""296""","""100%""","""40.0μg""","""0mg""","""84mg""","""2.50μg""","""""","""0.26mg""","""—""","""249mg""","""6g""","""""","""1538kJ""","""2.30mg""","""22mg""","""32""","""8.1g""","""0.09mg""","""2.3mg""","""0.35mg""","""12.1g""","""75.2g""","""4mg""","""196mg""","""3.2mg""","""玉米面(黄)""","""""","""0mg""","""1.3g""","""12μg""","""0.47mg""","""—"""
"""—""","""—""","""3.0g""","""0μg""","""1.16mg""","""297""","""100%""","""1μg""","""0mg""","""151mg""","""5μg""","""""","""0.10mg""","""—""","""177mg""","""4g""","""""","""1530kJ""","""1.20mg""","""49mg""","""32""","""8g""","""0.08mg""","""2mg""","""0.16mg""","""12.8g""","""75.6g""","""1mg""","""143mg""","""2.4mg""","""玉米糁(黄)""","""""","""0mg""","""0.7g""","""13μg""","""0.22mg""","""—"""
"""—""","""—""","""0.2g""","""7μg""","""0.33mg""","""298""","""100%""","""40.0μg""","""0mg""","""0mg""","""1μg""","""""","""0mg""","""—""","""36mg""","""5g""","""""","""101kJ""","""0mg""","""6mg""","""32""","""1.1g""","""0mg""","""171mg""","""0.02mg""","""93.0g""","""4.4g""","""0mg""","""4mg""","""0.1mg""","""玉米笋(罐头)""","""""","""0mg""","""1.3g""","""93μg""","""0.12mg""","""—"""
"""—""","""—""","""1.4g""","""0μg""","""4.36mg""","""299""","""100%""","""2μg""","""0mg""","""158mg""","""10μg""","""""","""0.43mg""","""—""","""49mg""","""10g""","""""","""1471kJ""","""4mg""","""66mg""","""33""","""10.2g""","""0.14mg""","""0mg""","""1mg""","""13.1g""","""73.3g""","""1mg""","""381mg""","""6.4mg""","""大麦[元麦]""","""""","""0mg""","""2.0g""","""13μg""","""1.23mg""","""—"""
"""—""","""—""","""2g""","""0μg""","""2.38mg""","""300""","""100%""","""3μg""","""0mg""","""65mg""","""5μg""","""""","""0.34mg""","""—""","""644mg""","""2g""","""""","""1468kJ""","""7mg""","""113mg""","""33""","""8.1g""","""0.11mg""","""77.0mg""","""5.13mg""","""12.4g""","""75.0g""","""1mg""","""405mg""","""41mg""","""青稞""","""""","""0mg""","""3.0g""","""12μg""","""2.08mg""","""—"""
"""—""","""—""","""3.1g""","""17μg""","""2mg""","""301""","""100%""","""100.0μg""","""0mg""","""107mg""","""5μg""","""""","""0.33mg""","""—""","""284mg""","""2g""","""""","""1544kJ""","""2mg""","""41mg""","""34""","""9.0g""","""0.10mg""","""4.3mg""","""1mg""","""11.6g""","""75.1g""","""4mg""","""229mg""","""5.1mg""","""小米""","""""","""0mg""","""1.2g""","""12μg""","""1mg""","""—"""
"""14.6%""","""49.8%""","""2.1g""","""0μg""","""1.18mg""","""302""","""100%""","""1μg""","""0mg""","""57mg""","""3μg""","""""","""0.13mg""","""100.0%""","""129mg""","""1g""","""""","""1521kJ""","""2.50mg""","""40mg""","""34""","""7.2g""","""0.08mg""","""6.2mg""","""0.32mg""","""11.8g""","""77.7g""","""0mg""","""159mg""","""6.1mg""","""小米面""","""""","""0mg""","""1.2g""","""12μg""","""1mg""","""35.6%"""
"""—""","""—""","""1g""","""0μg""","""0.41mg""","""303""","""100%""","""0μg""","""0mg""","""22mg""","""0.30μg""","""""","""0.02mg""","""—""","""19mg""","""0g""","""""","""193kJ""","""1mg""","""10mg""","""34""","""1.4g""","""0.07mg""","""4.1mg""","""0.07mg""","""89.3g""","""8.4g""","""0mg""","""32mg""","""1.0mg""","""小米粥""","""""","""0mg""","""0.2g""","""89μg""","""0.16mg""","""—"""
"""—""","""—""","""3g""","""0μg""","""3.05mg""","""304""","""100%""","""1μg""","""0mg""","""116mg""","""2.30μg""","""""","""0.30mg""","""—""","""201mg""","""4g""","""""","""1540kJ""","""1.40mg""","""30mg""","""34""","""14g""","""0.09mg""","""2mg""","""1mg""","""11.3g""","""71.1g""","""2mg""","""244mg""","""6mg""","""大黄米[黍子]""","""""","""0mg""","""1.3g""","""11μg""","""2mg""","""—"""
"""—""","""—""","""2g""","""0μg""","""2.07mg""","""305""","""100%""","""1μg""","""0mg""","""0mg""","""0μg""","""""","""0.09mg""","""—""","""0mg""","""4g""","""""","""1528kJ""","""1.30mg""","""0mg""","""34""","""10g""","""0.13mg""","""3.3mg""","""1mg""","""11.1g""","""76.9g""","""5mg""","""0mg""","""0mg""","""黄米""","""""","""0mg""","""0.8g""","""11μg""","""0.23mg""","""—"""
"""—""","""—""","""3.1g""","""0μg""","""2mg""","""306""","""100%""","""2μg""","""0mg""","""129mg""","""3μg""","""""","""0.29mg""","""—""","""281mg""","""4g""","""""","""1561kJ""","""2mg""","""22mg""","""35""","""10.4g""","""0.10mg""","""6.3mg""","""1mg""","""10.3g""","""74.7g""","""2mg""","""329mg""","""6.3mg""","""高粱米""","""""","""0mg""","""1.5g""","""10μg""","""1.22mg""","""—"""
"""—""","""—""","""1g""","""0μg""","""2.07mg""","""307""","""100%""","""4μg""","""0mg""","""146mg""","""12.00μg""","""""","""0.45mg""","""—""","""148mg""","""6g""","""""","""1479kJ""","""1.20mg""","""99mg""","""35""","""11g""","""0.18mg""","""10mg""","""1mg""","""9.4g""","""75.1g""","""4mg""","""205mg""","""5.0mg""","""糜子(带皮)""","""""","""0mg""","""4.3g""","""9μg""","""1.10mg""","""—"""
"""—""","""—""","""3g""","""0μg""","""2.02mg""","""308""","""100%""","""2μg""","""0mg""","""94mg""","""6μg""","""""","""0.32mg""","""—""","""320mg""","""6g""","""""","""1387kJ""","""2mg""","""39mg""","""35""","""10g""","""0.21mg""","""2.3mg""","""1mg""","""19.3g""","""66.0g""","""2mg""","""244mg""","""4.4mg""","""苦荞麦粉""","""""","""0mg""","""2.3g""","""19μg""","""1.31mg""","""—"""
"""51.6%""","""14.6%""","""2.3g""","""3μg""","""4mg""","""309""","""100%""","""20.0μg""","""0mg""","""258mg""","""2.40μg""","""""","""0.28mg""","""99.4%""","""401mg""","""6.5g""","""""","""1484kJ""","""2.20mg""","""47mg""","""35""","""9.3g""","""0.16mg""","""5mg""","""1mg""","""13.0g""","""73.0g""","""4mg""","""297mg""","""6.2mg""","""荞麦""","""""","""0mg""","""2.4g""","""13μg""","""2.04mg""","""33.2%"""
"""—""","""—""","""7.2g""","""3μg""","""2.21mg""","""310""","""100%""","""20.0μg""","""0mg""","""146mg""","""0.50μg""","""""","""0.39mg""","""—""","""319mg""","""5g""","""""","""1626kJ""","""4mg""","""27mg""","""35""","""12.2g""","""0.04mg""","""2.2mg""","""1mg""","""11.0g""","""67.8g""","""8mg""","""35mg""","""14mg""","""莜麦面""","""""","""0mg""","""1.8g""","""11μg""","""4mg""","""—"""
"""—""","""—""","""3.3g""","""0μg""","""2mg""","""311""","""100%""","""2μg""","""0mg""","""88mg""","""3.10μg""","""""","""0.22mg""","""—""","""238mg""","""2g""","""""","""1548kJ""","""2.00mg""","""42mg""","""35""","""13g""","""0.15mg""","""4mg""","""0.29mg""","""11.2g""","""71.1g""","""2mg""","""217mg""","""4mg""","""薏米[薏仁米，苡米]""","""""","""0mg""","""1.6g""","""11μg""","""1.37mg""","""—"""
"""—""","""—""","""2.4g""","""0μg""","""1.39mg""","""312""","""100%""","""2μg""","""0mg""","""50mg""","""3.10μg""","""""","""0.07mg""","""—""","""163mg""","""5g""","""""","""1530kJ""","""2.40mg""","""42mg""","""35""","""11.3g""","""0.14mg""","""2.3mg""","""0.26mg""","""10.9g""","""73.5g""","""5mg""","""134mg""","""7.4mg""","""薏米面""","""""","""0mg""","""1.9g""","""11μg""","""2mg""","""—"""
"""—""","""—""","""0.2g""","""5μg""","""0.37mg""","""313""","""94%""","""30.0μg""","""27.0mg""","""23mg""","""1μg""","""""","""0.08mg""","""—""","""342mg""","""1g""","""""","""334kJ""","""1.10mg""","""8mg""","""36""","""2.0g""","""0.04mg""","""3mg""","""0.12mg""","""79.8g""","""17.2g""","""0mg""","""40mg""","""1mg""","""马铃薯[土豆，洋芋]""","""""","""0mg""","""0.8g""","""80μg""","""0.14mg""","""—"""
"""—""","""—""","""0.5g""","""20μg""","""1.22mg""","""314""","""100%""","""120.0μg""","""0mg""","""27mg""","""2μg""","""""","""0.08mg""","""—""","""1075mg""","""1g""","""""","""1457kJ""","""5.10mg""","""171mg""","""36""","""7.2g""","""0.06mg""","""5mg""","""1.06mg""","""12.0g""","""77.4g""","""0mg""","""123mg""","""11mg""","""马铃薯粉""","""""","""0mg""","""2.9g""","""12μg""","""0.37mg""","""—"""
"""—""","""—""","""0.2g""","""37μg""","""0.22mg""","""315""","""86%""","""220.0μg""","""24.0mg""","""17mg""","""1μg""","""""","""0.07mg""","""—""","""174mg""","""1g""","""""","""460kJ""","""1mg""","""24mg""","""36""","""1.4g""","""0.04mg""","""58.2mg""","""0.16mg""","""72.6g""","""25.2g""","""0mg""","""46mg""","""1mg""","""甘薯(白心)[红皮山芋]""","""""","""0mg""","""0.6g""","""73μg""","""0.21mg""","""—"""
"""29.3%""","""30.9%""","""0.2g""","""125μg""","""0.15mg""","""316""","""90%""","""750.0μg""","""26.0mg""","""12mg""","""0.50μg""","""""","""0.04mg""","""79.1%""","""130mg""","""2g""","""""","""446kJ""","""1mg""","""23mg""","""36""","""1.1g""","""0.04mg""","""28.5mg""","""0.18mg""","""73.4g""","""24.7g""","""0mg""","""39mg""","""0.5mg""","""甘薯(红心)[山芋，红薯]""","""""","""0mg""","""0.6g""","""73μg""","""0.11mg""","""18.9%"""
"""—""","""—""","""1g""","""25μg""","""0.35mg""","""317""","""100%""","""150.0μg""","""9.0mg""","""102mg""","""3μg""","""""","""0.15mg""","""—""","""353mg""","""2g""","""""","""1478kJ""","""1.10mg""","""112mg""","""36""","""5g""","""0.11mg""","""26.4mg""","""0.50mg""","""12.1g""","""80.5g""","""0mg""","""115mg""","""4mg""","""甘薯片[白薯干]""","""""","""0mg""","""1.9g""","""12μg""","""1.14mg""","""—"""
"""—""","""—""","""0.2g""","""3μg""","""0.29mg""","""318""","""100%""","""20.0μg""","""0mg""","""102mg""","""3μg""","""""","""0.03mg""","""—""","""66mg""","""0g""","""""","""1429kJ""","""0.20mg""","""33mg""","""36""","""3g""","""0.05mg""","""26.4mg""","""0.05mg""","""14.5g""","""81g""","""0mg""","""12mg""","""10.0mg""","""甘薯粉[地瓜粉]""","""""","""0mg""","""1.7g""","""14μg""","""0.33mg""","""—"""
"""—""","""—""","""0.3g""","""0μg""","""0mg""","""319""","""99%""","""1μg""","""35.0mg""","""66mg""","""0μg""","""""","""0.21mg""","""—""","""764mg""","""2g""","""""","""519kJ""","""1.20mg""","""88mg""","""36""","""2.1g""","""0.09mg""","""8.0mg""","""0mg""","""69.0g""","""27.8g""","""0mg""","""50mg""","""2.5mg""","""木薯""","""""","""0mg""","""0.8g""","""69μg""","""0mg""","""—"""
