mufa,pufa,fat,vitamin_a,zinc,id,edible_part,carotene,vitamin_c,magnesium,selenium,iodine,thiamin,fatty_acids_total,potassium,dietary_fiber,alias_name,energy,niacin,calcium,cate_id,protein,riboflavin,sodium,copper,water,carbohydrate,vitamin_e,phosphorus,iron,food_name,english_name,cholesterol,ash,retinol,manganese,sfa
"""—""","""—""","""0.4g""","""""","""0.39mg""","""575""","""100%""","""30.0μg""","""2.0mg""","""17mg""","""0.30μg""","""""","""0.15mg""","""—""","""195mg""","""""","""""","""158kJ""","""4.10mg""","""""","""53""","""2.4g""","""0.19mg""","""4.3mg""","""0.14mg""","""90.2g""","""6.0g""","""—""","""97mg""","""1.4mg""","""金针菇[智力菇](鲜)""","""""","""""","""1.0g""","""""","""0.10mg""","""—"""
"""—""","""—""","""3.3g""","""0μg""","""9.04mg""","""576""","""100%""","""17μg""","""0mg""","""167mg""","""0μg""","""""","""0.07mg""","""—""","""3106mg""","""17g""","""""","""1317kJ""","""44.30mg""","""169mg""","""53""","""39g""","""0.08mg""","""5.2mg""","""6mg""","""9.2g""","""31.6g""","""9mg""","""1655mg""","""19.4mg""","""口蘑(白蘑)""","""""","""0mg""","""17.2g""","""9μg""","""6mg""","""—"""
"""3.9%""","""70.9%""","""0.1g""","""2μg""","""1mg""","""577""","""99%""","""10.0μg""","""2.0mg""","""11mg""","""1μg""","""""","""0.08mg""","""98.3%""","""312mg""","""2g""","""""","""119kJ""","""4.00mg""","""6mg""","""53""","""3g""","""0.35mg""","""8.3mg""","""0.49mg""","""92.4g""","""4.1g""","""1mg""","""94mg""","""1.2mg""","""蘑菇(鲜蘑)""","""""","""0mg""","""0.7g""","""92μg""","""0.11mg""","""23.5%"""
"""3.9%""","""70.9%""","""5g""","""273μg""","""6.29mg""","""578""","""100%""","""1640.0μg""","""5.0mg""","""94mg""","""39.20μg""","""""","""0.10mg""","""98.4%""","""1225mg""","""21g""","""""","""1423kJ""","""31mg""","""127mg""","""53""","""21.0g""","""1.10mg""","""23.3mg""","""1.05mg""","""13.7g""","""52.7g""","""6mg""","""357mg""","""51.3mg""","""蘑菇(干)""","""""","""0mg""","""8.0g""","""14μg""","""2mg""","""23.5%"""
"""32.1%""","""44.8%""","""2g""","""17μg""","""3.18mg""","""579""","""100%""","""100.0μg""","""0mg""","""152mg""","""4μg""","""""","""0.17mg""","""100.0%""","""757mg""","""30g""","""""","""1376kJ""","""2.50mg""","""247mg""","""53""","""12.1g""","""0.44mg""","""48.5mg""","""0.32mg""","""15.5g""","""65.6g""","""11mg""","""292mg""","""97.4mg""","""木耳(干)[黑木耳，云耳]""","""""","""0mg""","""5.3g""","""16μg""","""9mg""","""23.1%"""
"""32.1%""","""44.8%""","""0.2g""","""3μg""","""1mg""","""580""","""100%""","""20.0μg""","""1.0mg""","""57mg""","""0.50μg""","""""","""0.01mg""","""100.0%""","""52mg""","""3g""","""""","""135kJ""","""0.20mg""","""34mg""","""53""","""2g""","""0.05mg""","""8.5mg""","""0.04mg""","""91.8g""","""6.0g""","""8mg""","""12mg""","""6mg""","""木耳(水发)[黑木耳，云耳]""","""""","""0mg""","""0.5g""","""92μg""","""1mg""","""23.1%"""
"""—""","""—""","""0.3g""","""2μg""","""1mg""","""581""","""93%""","""10.0μg""","""4.0mg""","""14mg""","""1.10μg""","""""","""0.06mg""","""—""","""258mg""","""2g""","""""","""122kJ""","""3.10mg""","""5mg""","""53""","""2g""","""0.16mg""","""4mg""","""0.08mg""","""92.5g""","""4.6g""","""1mg""","""86mg""","""1.0mg""","""平菇[糙皮侧耳，青蘑]""","""""","""0mg""","""0.7g""","""92μg""","""0.07mg""","""—"""
"""—""","""—""","""1g""","""0μg""","""3.14mg""","""582""","""100%""","""10μg""","""0mg""","""0mg""","""92μg""","""""","""0mg""","""—""","""169mg""","""25g""","""""","""1326kJ""","""0mg""","""14mg""","""53""","""18.4g""","""1.16mg""","""4.3mg""","""1mg""","""12.3g""","""58.1g""","""0mg""","""35mg""","""235.1mg""","""普中红蘑(干)""","""""","""0mg""","""10.5g""","""12μg""","""4mg""","""—"""
"""—""","""—""","""3.2g""","""0μg""","""6.22mg""","""583""","""100%""","""12μg""","""0mg""","""0mg""","""98.40μg""","""""","""0.01mg""","""—""","""93mg""","""48g""","""""","""1283kJ""","""0mg""","""14mg""","""53""","""20.3g""","""1.48mg""","""4.3mg""","""10.30mg""","""16.1g""","""48.2g""","""3mg""","""50mg""","""86.0mg""","""松蘑(干)[松口蘑，松茸]""","""""","""0mg""","""12.2g""","""16μg""","""2mg""","""—"""
"""—""","""—""","""0.3g""","""""","""0.66mg""","""584""","""100%""","""""","""1.0mg""","""11mg""","""2.60μg""","""""","""""","""—""","""20mg""","""""","""""","""137kJ""","""2.00mg""","""2mg""","""53""","""2.2g""","""0.08mg""","""1.4mg""","""0.12mg""","""91.7g""","""5.2g""","""—""","""53mg""","""0.3mg""","""香菇[香蕈，冬菇](鲜)""","""""","""""","""0.6g""","""""","""0.25mg""","""—"""
"""12.1%""","""74.5%""","""1.2g""","""3μg""","""9mg""","""585""","""95%""","""20.0μg""","""5.0mg""","""147mg""","""6.40μg""","""""","""0.19mg""","""99.8%""","""464mg""","""32g""","""""","""1433kJ""","""20.50mg""","""83mg""","""53""","""20.0g""","""1.26mg""","""11.2mg""","""1.03mg""","""12.3g""","""61.7g""","""1mg""","""258mg""","""10.5mg""","""香菇(干)[香蕈，冬菇]""","""""","""0mg""","""4.8g""","""12μg""","""5.47mg""","""13.2%"""
"""—""","""—""","""7.1g""","""""","""12.11mg""","""586""","""100%""","""1070.0μg""","""3.0mg""","""117mg""","""4.80μg""","""""","""0.10mg""","""—""","""1726mg""","""""","""""","""1463kJ""","""8.80mg""","""87mg""","""53""","""26.9g""","""2.25mg""","""33.6mg""","""2.34mg""","""14.3g""","""43.7g""","""—""","""1193mg""","""30.7mg""","""羊肚菌[干狼肚](干)""","""""","""""","""8.0g""","""""","""2.49mg""","""—"""
"""54.3%""","""0.9%""","""1.4g""","""8μg""","""3.03mg""","""587""","""96%""","""50.0μg""","""0mg""","""54mg""","""3.00μg""","""""","""0.05mg""","""99.1%""","""1588mg""","""30g""","""""","""1366kJ""","""5.30mg""","""36mg""","""53""","""10.0g""","""0.25mg""","""82.1mg""","""0.08mg""","""14.6g""","""67.3g""","""1mg""","""369mg""","""4.1mg""","""银耳(干)[白木耳]""","""""","""0mg""","""6.7g""","""15μg""","""0.17mg""","""43.9%"""
"""—""","""—""","""1g""","""0μg""","""4mg""","""588""","""100%""","""13μg""","""0mg""","""0mg""","""79μg""","""""","""0mg""","""—""","""284mg""","""23g""","""""","""1294kJ""","""0mg""","""24mg""","""53""","""18.3g""","""0.02mg""","""4.4mg""","""1.03mg""","""12.1g""","""56.3g""","""0mg""","""28mg""","""190mg""","""珍珠白蘑(干)""","""""","""0mg""","""12.6g""","""12μg""","""5mg""","""—"""
"""—""","""—""","""4g""","""7μg""","""7mg""","""589""","""77%""","""40.0μg""","""0mg""","""109mg""","""3μg""","""""","""0.01mg""","""—""","""2493mg""","""10g""","""""","""841kJ""","""8mg""","""11mg""","""53""","""10g""","""1mg""","""51.3mg""","""1.45mg""","""51.1g""","""31.9g""","""3mg""","""286mg""","""25.1mg""","""榛蘑(干)[假蜜环菌]""","""""","""0mg""","""3.8g""","""51μg""","""4.13mg""","""—"""
"""—""","""—""","""1.1g""","""0μg""","""2mg""","""590""","""77%""","""1μg""","""0mg""","""32mg""","""1μg""","""""","""0mg""","""—""","""732mg""","""3g""","""""","""248kJ""","""2.20mg""","""3mg""","""53""","""3g""","""0.20mg""","""15.1mg""","""0.43mg""","""85.6g""","""9.4g""","""1mg""","""84mg""","""7.4mg""","""榛蘑(水发)""","""""","""0mg""","""1.1g""","""86μg""","""1.21mg""","""—"""
"""9.7%""","""58.4%""","""2.6g""","""0.0μg""","""8.38mg""","""591""","""100%""","""Tr""","""—""","""124mg""","""7.20μg""","""17.1μg""","""0.32mg""","""99.9%""","""2165mg""","""15.40g""","""""","""1304kJ""","""39.39mg""","""4mg""","""53""","""23.1g""","""1.48mg""","""6.0mg""","""2.76mg""","""12.2g""","""56.1g""","""—""","""908mg""","""9.3mg""","""茶树菇(干)[柱状田头菇、油茶菇]""","""""","""—""","""6.0g""","""""","""0.73mg""","""31.8%"""
